gene_id,gene_name
ensmusg00000038608,dock10
ensmusg00000042501,cpa6
ensmusg00000103810,gm38005
ensmusg00000083422,gm15604
ensmusg00000119312,gm25253
ensmusg00000042641,rgsl1
ensmusg00000081417,gm15603
ensmusg00000103448,gm37133
ensmusg00000103192,gm37645
ensmusg00000104488,gm38062
ensmusg00000100212,gm5522
ensmusg00000102721,a630081d01rik
ensmusg00000100648,gm28659
ensmusg00002076499,gm54912
ensmusg00000099949,gm29124
ensmusg00000099918,gm28066
ensmusg00000026107,nabp1
ensmusg00000103424,gm37535
ensmusg00000104029,gm37210
ensmusg00000101986,gm6198
ensmusg00000087008,gm5530
ensmusg00000066797,zfp648
ensmusg00000048960,prex2
ensmusg00002076439,gm54920
ensmusg00000100031,gm18727
ensmusg00000077318,gm24173
ensmusg00000101827,gm28686
ensmusg00000103494,gm37410
ensmusg00000067158,col4a4
ensmusg00000079465,col4a3
ensmusg00002075966,gm54925
ensmusg00000101880,gm29282
ensmusg00000101433,gm29441
ensmusg00000056708,ier5
ensmusg00000026471,mr1
ensmusg00000057715,a830018l16rik
ensmusg00000026470,stx6
ensmusg00000103825,gm38178
ensmusg00000099845,gm29273
ensmusg00000103561,gm38069
ensmusg00000101610,gm7560
ensmusg00000104181,gm8850
ensmusg00000118923,gm22633
ensmusg00000098555,mir6341
ensmusg00000097628,gm2383
ensmusg00000098163,gm6216
ensmusg00000033722,bc034090
ensmusg00000103670,gm37622
ensmusg00000026150,mff
ensmusg00000101450,gm28941
ensmusg00000026149,tm4sf20
ensmusg00000114299,gm47791
ensmusg00000099771,gm19257
ensmusg00000102280,gm36999
ensmusg00000100744,gm17764
ensmusg00002074851,gm54947
ensmusg00000026469,xpr1
ensmusg00002076398,gm54950
ensmusg00000018417,myo1b
ensmusg00000101724,gm29453
ensmusg00000100313,gm28323
ensmusg00000100696,gm8419
ensmusg00002075355,gm54983
ensmusg00000072324,gm8420
ensmusg00000026490,cdc42bpa
ensmusg00000033701,acbd6
ensmusg00000102194,gm38169
ensmusg00000103636,gm38331
ensmusg00000026468,lhx4
ensmusg00000103180,gm37089
ensmusg00000062939,stat4
ensmusg00000101628,gm28177
ensmusg00000078291,gm3940
ensmusg00000033684,qsox1
ensmusg00000102299,gm37539
ensmusg00000102558,gm37571
ensmusg00000016918,sulf1
ensmusg00000033671,cep350
ensmusg00000103717,gm38038
ensmusg00000103771,gm36934
ensmusg00000026489,coq8a
ensmusg00000025938,slco5a1
ensmusg00000026159,agfg1
ensmusg00000104518,gm37162
ensmusg00000069620,gm5250
ensmusg00000113880,a030005l19rik
ensmusg00000113973,a030014e15rik
ensmusg00000113846,gm6217
ensmusg00000113084,a030003k21rik
ensmusg00000042414,prdm14
ensmusg00000113925,gm7544
ensmusg00000114011,gm47955
